municipality,administration,min_age,max_age,age_group,gender,payment_method,salary_records
vizzolo predabissi,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,11
vizzolo predabissi,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,29
vizzolo predabissi,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,8
vizzolo predabissi,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,65
vizzolo predabissi,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,7
vizzolo predabissi,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,39
vobarno,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,20
vobarno,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,8
vobarno,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,24
vobarno,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,57
vobarno,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,50
vobarno,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,6
vobarno,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,7
voghera,ministero dell'interno,45,54,45-54,1,conto corrente/carta conto,6
voghera,ministero dell'istruzione e del merito,18,24,18-24,0,conto corrente/carta conto,7
voghera,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,116
voghera,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,61
voghera,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,187
voghera,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,69
voghera,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,254
voghera,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,72
voghera,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,341
voghera,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,87
voghera,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,48
voghera,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,8
voghera,ministero della giustizia,18,24,18-24,1,conto corrente/carta conto,19
voghera,ministero della giustizia,25,34,25-34,0,conto corrente/carta conto,10
voghera,ministero della giustizia,25,34,25-34,1,conto corrente/carta conto,90
voghera,ministero della giustizia,35,44,35-44,1,conto corrente/carta conto,48
voghera,ministero della giustizia,45,54,45-54,0,conto corrente/carta conto,8
voghera,ministero della giustizia,45,54,45-54,1,conto corrente/carta conto,26
voghera,ministero della giustizia,55,64,55-64,0,conto corrente/carta conto,16
voghera,ministero della giustizia,55,64,55-64,1,conto corrente/carta conto,18
vogogna,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,18
vogogna,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,27
vogogna,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,7
vogogna,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,43
vogogna,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,45
volla,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,32
volla,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,11
volla,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,91
volla,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,10
volla,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,151
volla,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,22
volla,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,187
volla,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,41
volla,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,23
volla,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,9
volpago del montello,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,8
volpago del montello,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,16
volpago del montello,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,52
volpago del montello,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,9
